TITLE = " Ionization Mass Fractions"
Variables = " Ar+", "N+", "O+", "e-", "T"
Zone T= "Temperature", I=1000, F=POINT
3.86785e-10 1.41246e-09 1.79239e-07 1.81038e-07 4394.44
4.40887e-10 1.69575e-09 1.98883e-07 2.0102e-07 4418.82
5.02263e-10 2.03406e-09 2.20536e-07 2.23073e-07 4443.34
5.71745e-10 2.43713e-09 2.44353e-07 2.47362e-07 4467.97
6.50224e-10 2.91604e-09 2.70492e-07 2.74059e-07 4492.66
7.38647e-10 3.48343e-09 2.99114e-07 3.03336e-07 4517.4
8.38017e-10 4.15356e-09 3.30377e-07 3.35368e-07 4542.14
9.49384e-10 4.94241e-09 3.6444e-07 3.70332e-07 4566.84
1.07385e-09 5.86783e-09 4.01459e-07 4.084e-07 4591.49
1.21255e-09 6.94959e-09 4.41585e-07 4.49747e-07 4616.05
1.36665e-09 8.20945e-09 4.84964e-07 4.9454e-07 4640.48
1.53737e-09 9.67126e-09 5.31738e-07 5.42946e-07 4664.76
1.72592e-09 1.13609e-08 5.82039e-07 5.95126e-07 4688.88
1.93354e-09 1.33065e-08 6.35993e-07 6.51233e-07 4712.79
2.16148e-09 1.55383e-08 6.93717e-07 7.11416e-07 4736.5
2.411e-09 1.80885e-08 7.55319e-07 7.75818e-07 4759.96
2.68335e-09 2.09916e-08 8.20898e-07 8.44573e-07 4783.18
2.97977e-09 2.42841e-08 8.90545e-07 9.17809e-07 4806.14
3.30149e-09 2.80046e-08 9.6434e-07 9.95647e-07 4828.82
3.64973e-09 3.21936e-08 1.04236e-06 1.0782e-06 4851.21
4.02569e-09 3.68935e-08 1.12465e-06 1.16557e-06 4873.32
4.43054e-09 4.21486e-08 1.21128e-06 1.25786e-06 4895.13
4.86541e-09 4.80047e-08 1.3023e-06 1.35517e-06 4916.64
5.33143e-09 5.45097e-08 1.39773e-06 1.45757e-06 4937.85
5.82968e-09 6.17126e-08 1.49761e-06 1.56515e-06 4958.75
6.3612e-09 6.96641e-08 1.60196e-06 1.67799e-06 4979.35
6.92703e-09 7.84164e-08 1.7108e-06 1.79614e-06 4999.64
7.52813e-09 8.80226e-08 1.82413e-06 1.91968e-06 5019.63
